(2)若伴便秘者符合罗马Ⅳ功能性便秘诊断标准，若伴夜尿症者符合夜尿症的诊断标准；	Diagnostic
（1）患者拟行急症手术；	Therapy or Surgery
c) 在过去6个月内参加过I、II期临床试验或者3个月内参加过III、IV期临床试验；	Enrollment in other studies
4. 身高體重指數(BMI)&gt;=25得病人	Risk Assessment
5.愿意参与该研究并配合调查者；	Consent
（3）术前合并严重肝肾功能不全者；	Organ or Tissue Status
ii.筛选访视时在血清HBV DNA≥107copies/mL	Laboratory Examinations
3，绝经后患者。	Age
⑥患者及家属知情同意并签署知情同意书。	Consent
(17)血红蛋白低于90g/L；	Laboratory Examinations
1）年龄：50-80岁	Age
8)在过去五年内有药物滥用史者。	Addictive Behavior
1.急性一氧化碳中毒迟发性脑病、脑疝患者	Disease
3）依从性差、不遵从治疗要求者；	Compliance with Protocol
大于45岁	Age
7  不同意签署本研究的知情同意书。	Consent
4、不能除外为肾盂积水、动脉瘤等的囊性病变、囊性肾癌、包虫性囊肿;	Disease
4. 急诊手术；	Therapy or Surgery
8.已接受长期激素治疗且用量用法不明确者；	Pharmaceutical Substance or Drug
（1）年龄≥18岁	Age
9.受试者自愿参加本次临床试验，并签署知情同意书。	Consent
⑤常规DMT治疗无效。	Therapy or Surgery
(10) 曾接受胃，結腸或直腸切除術	Therapy or Surgery
(5)试验开始前30天内酗酒或者试验前6个月内存在酒精或药物依赖者；	Addictive Behavior
3、除肾癌之外有同时合并其他活跃的恶性肿瘤疾病或5年内有其他恶性肿瘤疾病史；	Disease
正在使用其他类似产品的患者	Pharmaceutical Substance or Drug
（2）皮损出现脓疱、糜烂、溃疡、坏死等，合并严重感染者。	Disease
5.术前活化部分凝血活酶时间（APTT）＞正常值上限+10秒；	Laboratory Examinations
- 新霉素、链霉素和多粘菌素B过敏者；	Allergy Intolerance
①年龄在18岁以下或65岁以上；	Age
1.术前有尿失禁病史；	Disease
（1）于2013年－ 至今于我科行全髋、膝关节翻修术的患者；	Therapy or Surgery
1、年龄18-80 岁；	Age
4、正在或者需持续使用可能影响胃肠道功能药物（如抗胆碱能药、钙通道阻滞剂、5-HT3受体拮抗剂、止泻剂、抗酸剂、促动力剂、抗抑郁药、抗焦虑药、肠道菌群调节药）；	Pharmaceutical Substance or Drug
（1）严格排除有精神分裂症、酒精和药物依赖病史；	Disease
1)年龄大于等于18岁；	Age
（6）根据术前评估需要做全胃切除的患者）	Therapy or Surgery
4）病人年龄18-70岁。	Age
（2）由受试者或其家属（监护人）签署的同意参加本试验的书面知情同意书；	Consent
2.术后病理组织学或者细胞学检查确诊的原发性肝细胞肝癌患者；	Diagnostic
2）骨髓形态学或分子水平排除APL	Diagnostic
6) 经一般检查和血压、心率和呼吸状况等检查为不合格者；	Laboratory Examinations
4.签署知情同意书，愿意参加该试验	Consent
2．合并有青光眼、葡萄膜炎、外伤性白内障。	Organ or Tissue Status
6.既往接受过针对转移性肾癌的放疗；	Therapy or Surgery
16.受试者在给药前1年内有药物滥用史，或筛选期-给药前2天内药物滥用(甲基苯丙胺，亚甲基二氧甲基苯丙胺，氯胺酮，吗啡，海洛因)检测呈阳性。	Addictive Behavior
6.入组前2周内未服用任何中药；	Pharmaceutical Substance or Drug
d. 合并严重内外科疾病，包括糖尿病、高血压、甲状腺疾病等	Disease
④有情感或精神障碍者及不合作者；	Disease
3伴有失明或眼球固定，无法配合治疗；	Compliance with Protocol
①体温&gt;38℃或&lt;36℃；	Laboratory Examinations
①符合DSM-IV双相障碍Ⅰ型诊断标准；	Diagnostic
1)试验前3个月每日吸烟量多于5支者。	Smoking Status
1.采用DSM-Ⅳ定式检查工具SCID-I/P中文版对患者进行系统精神检查，符合Sch的诊断标准；	Diagnostic
4.发热病程≤48h，最高腋温≥38℃；	Laboratory Examinations
血红蛋白 &gt; 9.0g/dl,	Laboratory Examinations
（9）目前正在应用β受体阻滞剂治疗者，包括局部应用；	Pharmaceutical Substance or Drug
1)年龄 18-80岁之间；	Age
2) 面部轻中度痤疮（定义为半脸皮损总数少于100，半脸炎性皮损数5-40个，不伴结节和囊肿形成）；	Diagnostic
3)术前PT、APTT较正常值延长1.5倍以上	Laboratory Examinations
(6)无药物或其他任何过敏史。	Allergy Intolerance
6. 签署知情同意书	Consent
12、显著的窦性心动过缓小于 40 ci/分	Laboratory Examinations
2.明确的对本品或其制剂成分过敏者；	Allergy Intolerance
（1）患者自愿参加研究，且签署知情同意书。	Consent
4、子宫手术史（如剖宫产史、肌瘤剥除史）或人工流产次数＞3次	Therapy or Surgery
9.术前3个月使用过抗抑郁药或抗癫痫药；	Pharmaceutical Substance or Drug
13. 无法控制的尿路感染，以至影响尿蛋白的测定；	Disease
③签署知情同意书，同意入组研究的患者	Consent
1.所有病例均经病理组织学或者细胞病理学确诊，符合《恶性肿瘤诊断及疗效标准》无化疗相对禁忌症；且符合肿瘤化疗所致血小板减少症的诊断标准；	Diagnostic
5. BMI&gt;35	Risk Assessment
9.过敏体质或已知对受试药过敏者。	Allergy Intolerance
（4）高血压	Disease
（3）按相应临床诊断标准诊断代谢相关疾病的并发症，如采用尿白蛋白肌酐比值、眼底荧光造影及血管超声检查明确糖尿病肾病、糖尿病视网膜病变及糖尿病血管病变的诊断等；	Diagnostic
4)  白细胞计数＜3000/mm3；	Laboratory Examinations
6)健康状况：无心、肝、肾、消化道、神经系统、精神异常及代谢异常等病史；	Disease
5、签署知情同意书	Consent
3.急性感染者，及严重感染未控制或高热患者；	Disease
5．距之前的抗肿瘤治疗结束时间≥4周，包括细胞毒性药物、内分泌治疗、放疗、手术；	Therapy or Surgery
15. 目前正在酗酒或吸毒，或筛选前5年内具有酒精或药物滥用史；	Addictive Behavior
4.自愿加入本试验研究，并签署知情同意书。	Consent
⑷ 患者知情同意并愿意接受相应治疗。	Consent
1) 试验前3 个月每日吸烟量多于5 支者；	Smoking Status
⑤术前ASA评分：≤3	Risk Assessment
①符合西医慢性尿路感染(再发性泌尿道感染）诊断标准；	Diagnostic
1.本研究开始前4周曾参加过其他临床试验	Enrollment in other studies
6.ECOG评分0-2分	Risk Assessment
3.4周内未参加其他临床试验者；	Enrollment in other studies
13.受试者在给药前两周内曾使用任何处方或非处方药物(包括维生素、天然药物及草药，例如圣约翰麦汁)。	Pharmaceutical Substance or Drug
（3）实验室检查结果在以下范围：天门冬氨酸氨基转移酶（AST）≤1.5倍正常值上限（ULN）；丙氨酸氨基转移酶（ALT）≤1.5倍正常值上限（ULN）；血清肌酐（Cr）≤1倍正常值上限（ULN）；	Laboratory Examinations
13. 合并有严重感染、糖尿病酮症酸中毒、高钾血症患者。	Disease
流调用抑郁量表阳性	Risk Assessment
d)B超检查最大压痛点位置，可见同心分层、不可压缩的腊肠样结构	Diagnostic
7. 生化检查符合以下条件：ALT ≤2.5×正常值上限（ULN），AST ≤2.5×ULN，血清总胆红素≤1.5×ULN，血肌酐≤1.5×ULN；	Laboratory Examinations
1.年龄18-75岁	Age
（5）Spiegel睡眠问卷，近1周患者睡眠情况，总分≥9分；	Risk Assessment
6. 签署接受手术的书面知情同意书。	Consent
⑴疼痛位于足跟中间或者沿足底筋膜中间移行区域疼痛；	Disease
7. 患儿的法定监护人签署知情同意书，若患儿年龄在10周岁及以上者需共同签署知情同意书，同意参加研究。	Consent
